Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Currency,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commence date,Supplier ABN,Finish date
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,24/10/2019,90027.96,AUD,Tait Electronics (Aust) Pty Ltd,"level 1, Suite 17, 13A Narabang Way Belrose NSW 2085",NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,16/06/2016,88986,AUD,KH1 Pty Ltd,114 National Boulevard Campbellfield VIC 3061,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,12/02/2020,88756.89,AUD,Faiveley Transport Australia Ltd,175 James Ruse Drive Rosehill NSW 2142,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,17/07/2019,88633.18,AUD,Airlube Australasia,268 Camboon Road Malaga WA 6090,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,13/11/2019,88550,AUD,UGL Engineering Pty Ltd,49 Borthwick Avenue Murarrie QLD 4172,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,21/11/2019,88295.33,AUD,Schweitzer Engineering,98A Bell Street Preston VIC 3072,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,30/08/2019,88252.67,AUD,Tait Electronics (Aust) Pty Ltd,"level 1, Suite 17, 13A Narabang Way Belrose NSW 2085",NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,31/01/2020,88252.67,AUD,Tait Electronics (Aust) Pty Ltd,"level 1, Suite 17, 13A Narabang Way Belrose NSW 2085",NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,18/05/2020,88000,AUD,Australasian Railway,Plaza Offices East Canberra Airport Terminal Complex ACT 2609,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,24/06/2020,88000,AUD,Victorian Rail Track,1010 LaTrobe Street Docklands VIC 3000,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OPSTRVTRAIN DEL,4/10/2019,87993.4,AUD,Progress Rail Services,24 Daisy Street Revesby NSW 2212,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV & TRADE EQUIP,11/07/2017,87992.45,AUD,Tools R Us,McPhail Road Coomera QLD 4209,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OTHER DIRECT PROFESSIONAL SERVICES,17/06/2019,87728.51,AUD,Trojan Recruitment Group Pty Ltd,PO Box P/BAG 9 Glebe NSW 2037,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,15/07/2019,87485.2,AUD,Lumara Timber Sales Pty Ltd,33 Ryde Road Pymble NSW 2073,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CHEMS AND GASES,6/05/2020,87283.36,AUD,Flick Pest Control Services,41 Bunya Street Eagle Farm QLD 4009,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEGETATION MNGMENT,9/01/2020,87279.5,AUD,Redplay Pty Ltd,17 Vidar Crescent Ooralea QLD 4740,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,25/03/2020,87081.94,AUD,Hyteco (Aust) Pty Ltd,PO Box 5141 Brendale QLD 4500,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,8/08/2019,86911.88,AUD,Phoenix Contact Pty Ltd,PO Box 2284 Taren Point NSW 2229,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,20/05/2020,86460,AUD,David Tickell Earthmoving Pty Ltd,1247 Umbiram Road Umbiram QLD 4352,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PPE SAFETY EQUIPMENT,6/05/2020,86334.53,AUD,Thermit Australia Pty Ltd,PO Box 76 Somersby NSW 2250,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,12/05/2020,86240,AUD,Galiyarr Technologies Pty Ltd,40 McNeill Road Kallangur QLD 4503,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,4/10/2019,86185,AUD,Work Caravans,39 Activity Crescent Molendinar QLD 4214,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HARDWARE CONSUMABLES,2/04/2020,85763.7,AUD,VSM Aust Pty Ltd,175 Granite Street Geebung QLD 4034,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PIPE TUBE HOSE & FIT,16/12/2019,85630.6,AUD,J Blackwood & Son Ltd,PO Box 277 Maryborough QLD 4650,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,28/03/2019,85525.43,AUD,Evolution Traffic Control,84 Pritchard Road Virginia QLD 4014,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OTHER DIRECT PROFESSIONAL SERVICES,6/05/2020,85000,AUD,Urbis Pty Ltd,123 Albert Street Brisbane QLD 4000,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEGETATION MNGMENT,14/06/2018,84712.78,AUD,Benchmark Landscape Group,29 Duignan Whitfield QLD 4870,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRONIC COMPONENT,18/10/2019,83919.46,AUD,Southern Cross Austereo Pty Ltd,3 Oracle Boulevard Broadbeach QLD 4218,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,28/03/2019,83744.33,AUD,G & G Markwell Pty Ltd,563 Ingham Road Bohle QLD 4818,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,13/11/2019,83534,AUD,UGL Engineering Pty Ltd,49 Borthwick Avenue Murarrie QLD 4172,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,6/04/2020,83244.7,AUD,Altro APAC Pty Ltd,3 St Andrews Court Rowville VIC 3178,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",REFRIG & A/C EQUIP,1/04/2020,83033.5,AUD,Honeywell Limited,19 Corporate Drive Cannon Hill QLD 4170,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MEDICAL SERVICES,31/01/2020,83027.66,AUD,Wesley Health Promotion,19 Lang Parade Milton QLD 4064,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MISC SERVICES,31/10/2019,82500,AUD,Grace Records Management,9 Hepher Road Campbelltown NSW 2560,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,11/04/2019,82250,AUD,Remedial Building Technicians Pty L,PO Box 1802 Oxenford QLD 4210,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,13/09/2019,82222.8,AUD,Watkins Steel Pty Ltd,106 Depot Street Banyo QLD 4014,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","BUILDING & HYDRAULIC MAINTENANCE (RENOVATION & FITOUT, SIGNAGE, LOCKSMITHS)",6/02/2020,81722.73,AUD,Remedial Building Technicians Pty L,PO Box 1802 Oxenford QLD 4210,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,6/03/2020,81623.3,AUD,Lumara Timber Sales Pty Ltd,33 Ryde Road Pymble NSW 2073,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MISCELLANEOUS,3/02/2016,81550,AUD,Turning Point Partners,212 Boundary Street Spring Hill QLD 4000,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,10/09/2019,80938.5,AUD,Voith Turbo Pty Ltd,1-47 Percival Road Smithfield NSW 2164,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,9/03/2020,80331.66,AUD,Belconnen Steel Pty Ltd,16 Bailey Court Brendale QLD 4500,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FEASIBILITY & APPRAISAL,9/03/2020,80000,AUD,Niche Environment & Heritage Pty Lt,PO Box W36 Parramatta NSW 2150,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MARKETING,3/05/2019,80000,AUD,Seven Network,GPO Box 7777 Sydney QLD 2001,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000", FENCING CONTRACTS,8/05/2020,79750,AUD,Secure Fencing,PO Box 1649 Aitkenvale QLD 4814,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,29/08/2019,79461.51,AUD,Valen Power,Po Box 74 Lake Cargelligo NSW 2672,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,2/06/2020,79382.6,AUD,PPQ Group,36 Bryants Road Loganholme QLD 4129,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,11/05/2020,79378.2,AUD,Siemens Mobility Pty Ltd,885 Mountain Highway Bayswater VIC 3153,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,12/08/2019,79290.75,AUD,Haymans Electrical Pty Ltd,593 Boundary Road Archerfield QLD 4108,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MISCELLANEOUS,19/12/2019,79042.7,AUD,BodyGuard Safety Solutions,16 Donaldson Street Wyong NSW 2259,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,15/06/2020,78859.08,AUD,Voith Turbo Pty Ltd,1-47 Percival Road Smithfield NSW 2164,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FIBRE OPTICS MATLS,10/02/2020,78408.8,AUD,Energex Ltd,26 Reddacliff Street Newstead QLD 4006,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SOFTWARE MAINTENANCE,31/07/2019,77940.5,AUD,Miktysh Solutions,110 Mary Street Brisbane QLD 4000,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,25/06/2020,77726,AUD,EMAK Communications & Civils Pty Lt,14 Jurekey Street Cluden QLD 4811,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,30/01/2020,77545,AUD,VSM Aust Pty Ltd,175 Granite Street Geebung QLD 4034,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,14/02/2020,77358.59,AUD,Specfurn Commercial Furniture,460 Bilson Road Geebung QLD 4034,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CORPORATE SERVICES,26/11/2019,77000,AUD,AltoPartners,23 Hunter Street Sydney NSW 2000,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,17/09/2019,77000,AUD,Visionstream Pty Ltd,PO Box L/BAG 3 East Bentleigh VIC 3165,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,19/09/2019,77000,AUD,Bombardier Transportation,PO Box 618 Dandenong VIC 3175,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEGETATION MNGMENT,23/04/2020,77000,AUD,Redplay Pty Ltd,17 Vidar Crescent Ooralea QLD 4740,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MEDICAL SUPPLIES,10/06/2020,76972.5,AUD,St John Ambulance Australia (Qld),PO Box 1645 Fortitude Valley QLD 4006,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,12/12/2019,76956,AUD,Central Scaffolding & Rigging,11 Steel Place Morningside QLD 4170,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,9/04/2020,76892.2,AUD,Specfurn Commercial Furniture,460 Bilson Road Geebung QLD 4034,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,4/10/2019,76890,AUD,Lumara Timber Sales Pty Ltd,33 Ryde Road Pymble NSW 2073,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,20/01/2020,76890,AUD,Lumara Timber Sales Pty Ltd,33 Ryde Road Pymble NSW 2073,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROPERTY,4/12/2019,75976.57,AUD,Airmaster Australia Pty Ltd,10 Devlan Street Mansfield QLD 4122,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,30/04/2020,75974.14,AUD,SKF Australia Pty Ltd,12 Navigator Place Hendra QLD 4011,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,5/11/2019,75900,AUD,Westray Engineering,PO Box 2222 Caringbah NSW 2229,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","M VEH, TRLRS & CYCL",12/02/2020,75869.97,AUD,DA.MET Automotive & Industrial Pty,42 Precision Street Salisbury QLD 4107,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,16/06/2020,75614,AUD,Crosana Pty Ltd,PO Box 135 Cessnock NSW 2325,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",NONMETAL FABR MATLS,5/08/2019,75460,AUD,Weseal Pty Ltd,7 Carroll Street Garbutt QLD 4814,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,20/01/2020,75427.26,AUD,Burton Power Pty Ltd,PO Box 7365 Garbutt QLD 4818,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,21/05/2019,74816,AUD,PricewaterhouseCoopers Consulting,480 Queen Street Brisbane QLD 4000,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,30/10/2018,74786,AUD,RGB Assurance Pty Ltd,59 Hardgrave Road West End QLD 4101,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FIBRE OPTICS MATLS,17/01/2020,74675.05,AUD,Energex Ltd,26 Reddacliff Street Newstead QLD 4006,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,28/05/2016,74636.36,AUD,Drivetrain Australia Pty Ltd,135 Pilbara Street Welshpool WA 6106,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,12/12/2019,74351.2,AUD,IPControls Pty Ltd,167 Prospect Highway Seven Hills QLD 2147,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,10/06/2020,74322.07,AUD,Downer EDI Rail,71B Elizabeth Street Wetherill Park NSW 2164,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,2/01/2020,73766.88,AUD,Knorr-Bremse Australia Pty Ltd,16 Machinery Street Darra QLD 4076,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,9/04/2020,73133.5,AUD,Downer Pipetech Pty Ltd,49 Links Avenue North Eagle Farm QLD 4009,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,20/12/2017,73100.09,AUD,MPA Surveying Pty Ltd,PO Box 357 Wilston QLD 4051,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROPERTY,23/09/2019,72409.7,AUD,Incorporate Space,96 Gardens Drive Willawong QLD 4110,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,8/11/2019,72074.2,AUD,UGL Engineering Pty Ltd,49 Borthwick Avenue Murarrie QLD 4172,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,5/03/2020,72028,AUD,Askin (Qld) Pty Ltd,129 Cobalt Street Carole Park QLD 4300,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRAINING SERVICES,23/04/2018,71937.84,AUD,BOOM! Coaching & Consulting,14 Brook Street Everton Park QLD 4053,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,10/03/2015,71608,AUD,Imtram Pty Ltd,PO Box 4460 Ringwood VIC 3134,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,17/07/2019,71607.8,AUD,Lumara Timber Sales Pty Ltd,33 Ryde Road Pymble NSW 2073,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,6/04/2020,71297.6,AUD,Pandrol Australia Pty Ltd,7 Bessemer Street Blacktown NSW 2148,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,7/09/2017,71200.04,AUD,Vieple Pty Ltd,25 Claremont Street South Yarra VIC 3141,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PPE SAFETY EQUIPMENT,3/04/2020,71127.38,AUD,Taylor Safety Equipment,207 McDougall Street Toowoomba QLD 4350,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEGETATION MNGMENT,2/03/2020,71112.8,AUD,Tropical Aqua Blasting Pty Ltd,55a Old Claire Road Ayr QLD 4807,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,10/06/2020,70400,AUD,Saft Batteries Pty Ltd,167 Prospect Highway Seven Hills NSW 2147,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV INSPECT & TEST,12/05/2020,70360.95,AUD,Atlas Rail Pty Ltd,153 Keys Road Moorabbin VIC 3189,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,16/06/2020,70285.18,AUD,Austact Civil Pty Ltd,PO Box 6021 Yatala QLD 4207,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,4/12/2019,70221.69,AUD,Faiveley Transport Australia Ltd,175 James Ruse Drive Rosehill NSW 2142,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,6/02/2020,70000,AUD,Davidson Recruitment Pty Ltd,344 Queen Street Brisbane QLD 4000,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,6/02/2020,70000,AUD,Hudson Global Resources,66 Eagle Street Brisbane QLD 4000,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,6/02/2020,70000,AUD,Hays Specialist Recruitment,PO Box 3868 Sydney NSW 2001,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,6/02/2020,70000,AUD,Adecco Australia Pty Ltd,19/300 Adelaide Street Brisbane QLD 4000,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,6/02/2020,70000,AUD,IPA Personnel Services Pty Ltd,271 Collins Street Melbourne QLD 3000,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,6/02/2020,70000,AUD,Eden Ritchie Recruitment Pty Ltd,PO Box 1157 Brisbane QLD 4000,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,6/02/2020,70000,AUD,Hallis,247 Adelaide Street Brisbane QLD 4000,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,6/02/2020,70000,AUD,HB Recruitment,4 Laurel Street Toowoomba QLD 4350,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,6/02/2020,70000,AUD,Precruitment Pty Ltd,PO Box 6565 Cairns QLD 4870,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,6/02/2020,70000,AUD,Programmed Professionals Pty Ltd,47 Burswood Road Burswood WA 6100,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,6/02/2020,70000,AUD,Robert Walters Pty Ltd,385 Bourke Street Melbourne VIC 3000,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,19/08/2019,69916,AUD,Forest One Australia Pty Ltd,PO Box 315 Bungalow QLD 4870,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,31/03/2020,69658.94,AUD,VSM Aust Pty Ltd,175 Granite Street Geebung QLD 4034,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","ORES, MINERALS",7/05/2020,69413.36,AUD,Karreman Quarries,632 West Mt Cotton Road Mt Cotton QLD 4165,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,3/02/2020,69412.12,AUD,Knorr-Bremse Australia Pty Ltd,16 Machinery Street Darra QLD 4076,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","ORES, MINERALS",23/08/2019,69328.97,AUD,BQC Quarries,PO Box 203 Ayr QLD 4807,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FIRE SAF & ENV EQUIP,8/11/2019,69184.5,AUD,PFP Robotics Pty Ltd,4 Suite 113 Cornwallis Street Eveleigh NSW 2015,NO,NO,,,,,,,,,,,,,
